Entry	Entry name	Status	Protein names	Gene names	Organism	Date of creation	Date of last modification	Gene ontology (biological process)	Gene ID	Cross-reference (PDB)
O94779	CNTN5_HUMAN	reviewed	Contactin-5 (Neural recognition molecule NB-2) (hNB-2)	CNTN5	Homo sapiens (Human)	2004-11-23	2019-01-16	cell adhesion [GO:0007155]; presynapse assembly [GO:0099054]; sensory perception of sound [GO:0007605]	53942	4N68
Q9H8W5	TRI45_HUMAN	reviewed	Tripartite motif-containing protein 45 (RING finger protein 99)	TRIM45 RNF99	Homo sapiens (Human)	2004-11-23	2019-01-16	bone development [GO:0060348]	80263	2DS4
Q15434	RBMS2_HUMAN	reviewed	RNA-binding motif, single-stranded-interacting protein 2 (Suppressor of CDC2 with RNA-binding motif 3)	RBMS2 SCR3	Homo sapiens (Human)	2004-11-23	2019-01-16	RNA processing [GO:0006396]	5939	1X4E
Q7L5N1	CSN6_HUMAN	reviewed	COP9 signalosome complex subunit 6 (SGN6) (Signalosome subunit 6) (JAB1-containing signalosome subunit 6) (MOV34 homolog) (Vpr-interacting protein) (hVIP)	COPS6 CSN6 HVIP	Homo sapiens (Human)	2004-11-23	2019-01-16	nucleotide-excision repair, DNA damage recognition [GO:0000715]; post-translational protein modification [GO:0043687]; protein deneddylation [GO:0000338]; transcription-coupled nucleotide-excision repair [GO:0006283]; viral process [GO:0016032]	10980	4QFT
O60729	CC14B_HUMAN	reviewed	Dual specificity protein phosphatase CDC14B (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog B)	CDC14B	Homo sapiens (Human)	2004-11-23	2019-01-16	DNA repair [GO:0006281]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; mitotic cell cycle arrest [GO:0071850]; positive regulation of cytokinesis [GO:0032467]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; protein dephosphorylation [GO:0006470]; regulation of exit from mitosis [GO:0007096]; signal transduction involved in G2 DNA damage checkpoint [GO:0072425]	8555	1OHE
Q9UMS4	PRP19_HUMAN	reviewed	Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (hPso4) (RING-type E3 ubiquitin transferase PRP19) (Senescence evasion factor)	PRPF19 NMP200 PRP19 SNEV	Homo sapiens (Human)	2004-11-23	2019-01-16	cellular protein localization [GO:0034613]; double-strand break repair via nonhomologous end joining [GO:0006303]; generation of catalytic spliceosome for first transesterification step [GO:0000349]; inner cell mass cell proliferation [GO:0001833]; lipid biosynthetic process [GO:0008610]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of neuron differentiation [GO:0045666]; proteasomal protein catabolic process [GO:0010498]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; signal transduction involved in DNA damage checkpoint [GO:0072422]; spliceosomal complex assembly [GO:0000245]; spliceosomal tri-snRNP complex assembly [GO:0000244]; transcription-coupled nucleotide-excision repair [GO:0006283]	27339	4LG8
Q9BT78	CSN4_HUMAN	reviewed	COP9 signalosome complex subunit 4 (SGN4) (Signalosome subunit 4) (JAB1-containing signalosome subunit 4)	COPS4 CSN4	Homo sapiens (Human)	2004-11-23	2019-01-16	nucleotide-excision repair, DNA damage recognition [GO:0000715]; post-translational protein modification [GO:0043687]; protein deneddylation [GO:0000338]; transcription-coupled nucleotide-excision repair [GO:0006283]	51138	4D0P
Q9HBE4	IL21_HUMAN	reviewed	Interleukin-21 (IL-21) (Za11)	IL21	Homo sapiens (Human)	2004-11-23	2019-01-16	cell maturation [GO:0048469]; immune response [GO:0006955]; interleukin-21-mediated signaling pathway [GO:0038114]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of cell proliferation [GO:0008284]; positive regulation of cytokine production [GO:0001819]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interferon-gamma biosynthetic process [GO:0045078]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tissue remodeling [GO:0034105]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; signal transduction [GO:0007165]; tyrosine phosphorylation of STAT protein [GO:0007260]	59067	2OQP
Q9BQ39	DDX50_HUMAN	reviewed	ATP-dependent RNA helicase DDX50 (EC 3.6.4.13) (DEAD box protein 50) (Gu-beta) (Nucleolar protein Gu2)	DDX50	Homo sapiens (Human)	2004-11-23	2019-01-16		79009	2E29
Q14134	TRI29_HUMAN	reviewed	Tripartite motif-containing protein 29 (Ataxia telangiectasia group D-associated protein)	TRIM29 ATDC	Homo sapiens (Human)	2004-11-23	2019-01-16	innate immune response [GO:0045087]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of transcription by RNA polymerase II [GO:0000122]; transcription by RNA polymerase II [GO:0006366]	23650	2CSV
Q9Y616	IRAK3_HUMAN	reviewed	Interleukin-1 receptor-associated kinase 3 (IRAK-3) (EC 2.7.11.1) (IL-1 receptor-associated kinase M) (IRAK-M)	IRAK3	Homo sapiens (Human)	2004-11-09	2019-01-16	cytokine-mediated signaling pathway [GO:0019221]; interleukin-1-mediated signaling pathway [GO:0070498]; intracellular signal transduction [GO:0035556]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of cytokine-mediated signaling pathway [GO:0001960]; negative regulation of innate immune response [GO:0045824]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of macrophage cytokine production [GO:0010936]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein complex disassembly [GO:0043242]; negative regulation of toll-like receptor signaling pathway [GO:0034122]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of macrophage tolerance induction [GO:0010933]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of protein complex disassembly [GO:0043244]; response to exogenous dsRNA [GO:0043330]; response to interleukin-1 [GO:0070555]; response to lipopolysaccharide [GO:0032496]; response to peptidoglycan [GO:0032494]; response to virus [GO:0009615]	11213	5UKE
Q86Y78	LYPD6_HUMAN	reviewed	Ly6/PLAUR domain-containing protein 6	LYPD6 UNQ3023/PRO9821	Homo sapiens (Human)	2004-11-09	2019-01-16		130574	6GBI
Q8WY64	MYLIP_HUMAN	reviewed	E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP)	MYLIP BZF1 IDOL BM-023 PP5242	Homo sapiens (Human)	2004-11-09	2019-01-16	cholesterol homeostasis [GO:0042632]; low-density lipoprotein particle receptor catabolic process [GO:0032802]; negative regulation of low-density lipoprotein particle clearance [GO:0010989]; negative regulation of neuron projection development [GO:0010977]; nervous system development [GO:0007399]; positive regulation of protein catabolic process [GO:0045732]; protein destabilization [GO:0031648]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of low-density lipoprotein particle receptor catabolic process [GO:0032803]; ubiquitin-dependent protein catabolic process [GO:0006511]	29116	2YHO
P63272	SPT4H_HUMAN	reviewed	Transcription elongation factor SPT4 (hSPT4) (DRB sensitivity-inducing factor 14 kDa subunit) (DSIF p14) (DRB sensitivity-inducing factor small subunit) (DSIF small subunit)	SUPT4H1 SPT4H SUPT4H	Homo sapiens (Human)	2004-10-11	2019-01-16	chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; negative regulation of DNA-templated transcription, elongation [GO:0032785]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription elongation from RNA polymerase II promoter [GO:0034244]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]	6827	3H7H
Q9BSD7	NTPCR_HUMAN	reviewed	Cancer-related nucleoside-triphosphatase (NTPase) (EC 3.6.1.15) (Nucleoside triphosphate phosphohydrolase)	NTPCR C1orf57	Homo sapiens (Human)	2004-10-11	2019-01-16		84284	2I3B
Q9BRX2	PELO_HUMAN	reviewed	Protein pelota homolog (EC 3.1.-.-)	PELO CGI-17	Homo sapiens (Human)	2004-10-11	2019-01-16	cell cycle [GO:0007049]; cell division [GO:0051301]; cell proliferation [GO:0008283]; chromosome organization [GO:0051276]; endoderm development [GO:0007492]; mesenchymal to epithelial transition [GO:0060231]; nonfunctional rRNA decay [GO:0070651]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; positive regulation of BMP signaling pathway [GO:0030513]; ribosome disassembly [GO:0032790]; RNA surveillance [GO:0071025]; stem cell population maintenance [GO:0019827]	53918	1X52
P67870	CSK2B_HUMAN	reviewed	Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a)	CSNK2B CK2N G5A	Homo sapiens (Human)	2004-10-11	2019-01-16	adiponectin-activated signaling pathway [GO:0033211]; cellular protein-containing complex assembly [GO:0034622]; endothelial tube morphogenesis [GO:0061154]; liver regeneration [GO:0097421]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of cell proliferation [GO:0008285]; neutrophil degranulation [GO:0043312]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of activin receptor signaling pathway [GO:0032927]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; regulation of DNA binding [GO:0051101]; regulation of signal transduction by p53 class mediator [GO:1901796]; response to testosterone [GO:0033574]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]	1460	1QF8
P67809	YBOX1_HUMAN	reviewed	Nuclease-sensitive element-binding protein 1 (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Y-box transcription factor) (Y-box-binding protein 1) (YB-1)	YBX1 NSEP1 YB1	Homo sapiens (Human)	2004-10-11	2019-01-16	CRD-mediated mRNA stabilization [GO:0070934]; mRNA splicing, via spliceosome [GO:0000398]; Notch signaling pathway [GO:0007219]; positive regulation of cell division [GO:0051781]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to cytoplasmic stress granule [GO:1903608]; regulation of transcription, DNA-templated [GO:0006355]; transcription by RNA polymerase II [GO:0006366]	4904	1H95
Q9BUD6	SPON2_HUMAN	reviewed	Spondin-2 (Differentially expressed in cancerous and non-cancerous lung cells 1) (DIL-1) (Mindin)	SPON2 DIL1 UNQ435/PRO866	Homo sapiens (Human)	2004-09-27	2019-01-16	axon guidance [GO:0007411]; cell adhesion [GO:0007155]; cellular response to lipopolysaccharide [GO:0071222]; defense response to fungus [GO:0050832]; defense response to virus [GO:0051607]; induction of bacterial agglutination [GO:0043152]; innate immune response [GO:0045087]; mast cell mediated immunity [GO:0002448]; opsonization [GO:0008228]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of tumor necrosis factor production [GO:0032760]	10417	3D34
Q9NV31	IMP3_HUMAN	reviewed	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (BRMS2)	IMP3 C15orf12 MRPS4	Homo sapiens (Human)	2004-09-27	2019-01-16	rRNA processing [GO:0006364]	55272	2CQJ
Q9H0S4	DDX47_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47)	DDX47	Homo sapiens (Human)	2004-09-27	2019-01-16	extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]; rRNA processing [GO:0006364]	51202	3BER
Q9HCJ6	VAT1L_HUMAN	reviewed	Synaptic vesicle membrane protein VAT-1 homolog-like (EC 1.-.-.-)	VAT1L KIAA1576	Homo sapiens (Human)	2004-09-27	2019-01-16		57687	4A27
Q7Z628	ARHG8_HUMAN	reviewed	Neuroepithelial cell-transforming gene 1 protein (Proto-oncogene p65 Net1) (Rho guanine nucleotide exchange factor 8)	NET1 ARHGEF8	Homo sapiens (Human)	2004-09-27	2019-01-16	cellular response to hydrogen peroxide [GO:0070301]; cellular response to ionizing radiation [GO:0071479]; G protein-coupled receptor signaling pathway [GO:0007186]; intracellular signal transduction [GO:0035556]; myoblast migration [GO:0051451]; positive regulation of apoptotic process [GO:0043065]; positive regulation of GTPase activity [GO:0043547]; regulation of cell growth [GO:0001558]; regulation of Rho protein signal transduction [GO:0035023]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]	10276	4XH9
Q99700	ATX2_HUMAN	reviewed	Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein)	ATXN2 ATX2 SCA2 TNRC13	Homo sapiens (Human)	2004-09-13	2019-01-16	cytoplasmic mRNA processing body assembly [GO:0033962]; negative regulation of receptor internalization [GO:0002091]; regulation of cytoplasmic mRNA processing body assembly [GO:0010603]; regulation of translation [GO:0006417]; RNA metabolic process [GO:0016070]; RNA transport [GO:0050658]; stress granule assembly [GO:0034063]	6311	3KTR
Q9BWD1	THIC_HUMAN	reviewed	Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Acetyl-CoA transferase-like protein) (Cytosolic acetoacetyl-CoA thiolase)	ACAT2 ACTL	Homo sapiens (Human)	2004-09-13	2019-01-16	cholesterol biosynthetic process [GO:0006695]; fatty acid beta-oxidation [GO:0006635]; lipid metabolic process [GO:0006629]	39	1WL4
Q8N2K1	UB2J2_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 J2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J2) (Non-canonical ubiquitin-conjugating enzyme 2) (NCUBE-2)	UBE2J2 NCUBE2	Homo sapiens (Human)	2004-09-13	2019-01-16	positive regulation of protein targeting to mitochondrion [GO:1903955]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; response to unfolded protein [GO:0006986]; ubiquitin-dependent ERAD pathway [GO:0030433]	118424	2F4W
O95164	UBL3_HUMAN	reviewed	Ubiquitin-like protein 3 (Membrane-anchored ubiquitin-fold protein) (HsMUB) (MUB) (Protein HCG-1)	UBL3 PNSC1	Homo sapiens (Human)	2004-09-13	2019-01-16		5412	2GOW
Q9UJ78	ZMYM5_HUMAN	reviewed	Zinc finger MYM-type protein 5 (Zinc finger protein 198-like 1) (Zinc finger protein 237)	ZMYM5 ZNF198L1 ZNF237 HSPC050	Homo sapiens (Human)	2004-08-31	2019-01-16	cytoskeleton organization [GO:0007010]; regulation of cell morphogenesis [GO:0022604]; regulation of transcription by RNA polymerase II [GO:0006357]	9205	2DAS
Q8TE49	OTU7A_HUMAN	reviewed	OTU domain-containing protein 7A (EC 3.4.19.12) (Zinc finger protein Cezanne 2)	OTUD7A C15orf16 CEZANNE2 OTUD7	Homo sapiens (Human)	2004-08-31	2019-01-16	negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; protein deubiquitination [GO:0016579]; protein deubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0071947]; protein K11-linked deubiquitination [GO:0035871]; protein K48-linked deubiquitination [GO:0071108]; protein K63-linked deubiquitination [GO:0070536]	161725	2L2D
Q9HBW1	LRRC4_HUMAN	reviewed	Leucine-rich repeat-containing protein 4 (Brain tumor-associated protein BAG) (Nasopharyngeal carcinoma-associated gene 14 protein) (Netrin-G2 ligand) (NGL-2)	LRRC4 BAG NAG14 UNQ554/PRO1111	Homo sapiens (Human)	2004-08-31	2019-01-16	modulation of chemical synaptic transmission [GO:0050804]; postsynaptic density protein 95 clustering [GO:0097119]; regulation of synapse organization [GO:0050807]; synaptic membrane adhesion [GO:0099560]	64101	2DL9
P62917	RL8_HUMAN	reviewed	60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	RPL8	Homo sapiens (Human)	2004-08-31	2019-01-16	cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]	6132	4Y3O
Q9H063	MAF1_HUMAN	reviewed	Repressor of RNA polymerase III transcription MAF1 homolog	MAF1	Homo sapiens (Human)	2004-08-31	2019-01-16	negative regulation of transcription by RNA polymerase III [GO:0016480]	84232	3NR5
Q14183	DOC2A_HUMAN	reviewed	Double C2-like domain-containing protein alpha (Doc2) (Doc2-alpha)	DOC2A	Homo sapiens (Human)	2004-08-31	2019-01-16	chemical synaptic transmission [GO:0007268]; nervous system development [GO:0007399]; regulation of calcium ion-dependent exocytosis [GO:0017158]; synaptic vesicle exocytosis [GO:0016079]	8448	4MJJ
